when	game	levels_without	unaccounted_without	right_without	levels_with	unaccounted_with	right_with
2026-09-24 16:00	dc22	0	101	9/12	0	34	29/31
2026-09-24 16:00	cd82	1	86	99/119	1	77	148/162
