A g1 t26 l-1 st0 out0 val0 w2 m1 a1 p1 H0.000000 | acq:1:1:2 mea:1:0
A g1 t27 l-1 st0 out0 val0 w2 m1 a1 p1 H0.000000 | acq:1:1:2 mea:1:0
A g1 t28 l-1 st0 out0 val1 w2 m1 a1 p1 H0.000000 | acq:1:1:2 mea:1:1
A g1 t29 l-1 st0 out0 val1 w2 m1 a1 p1 H0.000000 | acq:1:1:2 mea:1:1
A g1 t30 l-1 st0 out0 val1 w2 m1 a1 p1 H0.000000 | acq:1:1:2 mea:1:1
A g1 t31 l-1 st0 out0 val1 w2 m1 a1 p1 H0.000000 | acq:1:1:2 mea:1:1
A g2 t0 l-1 st0 out0 val0 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:0
A g2 t1 l-1 st0 out0 val1 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:1
A g2 t2 l-1 st0 out0 val0 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:0
A g2 t3 l-1 st0 out0 val1 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:1
A g2 t4 l-1 st0 out0 val0 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:0
A g2 t5 l-1 st0 out0 val1 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:1
A g2 t6 l-1 st0 out0 val0 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:0
A g2 t7 l-1 st0 out0 val1 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:1
A g2 t8 l-1 st0 out0 val0 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:0
A g2 t9 l-1 st0 out0 val1 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:1
A g2 t10 l-1 st0 out0 val0 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:0
A g2 t11 l-1 st0 out0 val1 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:1
A g2 t12 l-1 st0 out0 val0 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:0
A g2 t13 l-1 st0 out0 val1 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:1
A g2 t14 l-1 st0 out0 val0 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:0
A g2 t15 l-1 st0 out0 val1 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:1
A g2 t16 l-1 st0 out0 val0 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:0
A g2 t17 l-1 st0 out0 val1 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:1
A g2 t18 l-1 st0 out0 val0 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:0
A g2 t19 l-1 st0 out0 val1 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:1
A g2 t20 l-1 st0 out0 val0 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:0
A g2 t21 l-1 st0 out0 val1 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:1
A g2 t22 l-1 st0 out0 val0 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:0
A g2 t23 l-1 st0 out0 val1 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:1
A g2 t24 l-1 st0 out0 val0 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:0
A g2 t25 l-1 st0 out0 val1 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:1
A g2 t26 l-1 st0 out0 val0 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:0
A g2 t27 l-1 st0 out0 val1 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:1
A g2 t28 l-1 st0 out0 val0 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:0
A g2 t29 l-1 st0 out0 val1 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:1
A g2 t30 l-1 st0 out0 val0 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:0
A g2 t31 l-1 st0 out0 val1 w2 m1 a1 p1 H0.000000 | acq:2:1:2 mea:2:1
A g3 t0 l-1 st0 out0 val0 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:0
A g3 t1 l-1 st0 out0 val0 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:0
A g3 t2 l-1 st0 out0 val0 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:0
A g3 t3 l-1 st0 out0 val0 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:0
A g3 t4 l-1 st0 out0 val0 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:0
A g3 t5 l-1 st0 out0 val0 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:0
A g3 t6 l-1 st0 out0 val0 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:0
A g3 t7 l-1 st0 out0 val0 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:0
A g3 t8 l-1 st0 out0 val0 w4 m1 a1 p1 H0.000000 | acq:4:1:4 mea:4:1
